nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9860;2847;155;273;7;23;#1deMaio #1McomLula #KarlMarx ;
🗣POVO sem MEDO🚶;3448;3441;453;3702;0;0;;
Ocupapolitica;13;0;1;0;0;0;;
Movimento Agora!;2280;625;138;380;20;52;#PraResolverAgora #Agora #TítuloEleitoral #FrasesQueInspiram #moradiadigna #Temjeito #Juntos #deficithabitacional #DiaDoTrabalho #Empreendedorismo #FrancisBacon #cidadeshumanasagora #Política ;jm19214 thiago_rocha43 juliano_seabra 
Bancada Ativista;292;43;74;16;0;0;;
RenovaBR;1672;142;193;104;8;27;#OBrasilTemJeito ;
Mídia NINJA;374561;32925;1818;3806;13655;33139;#1McomLula #LulaLivre #DiaDoTrabalho #AoVivo #NãoSereiInterrompida #QuemOcupaNãoTemCulpa #ComidaÉLuta #LiberdadeDeImprensa #MariellePresente #QuemOcupaNaoTemCulpa #LulaValeALuta #CartasParaLula #FreeLula #CensuraNuncaMais #ParemDeVenderArmas #1MvomLula #ARGENTINA #demarcaçãoja #PadreAmaroLivre #Suécia #mostracinemapelademocracia #Itália #1McomoLula #MeToo #RespeitaAsMina #CinemaAoVivo #AndersonPresente #ParadisePapers #EUA #OcupaOPoder ;MidiaNINJA GuilhermeBoulos gleisi lindberghfarias anacanas LaerteCoutinho1 revistaforum dasilvabenedita ManuelaDavila vanessasenadora LatuffCartoons Brasil_de_Fato jandira_feghali bethcarvalho MST_Oficial agenciapublica rehventura malvados lsnader82 NairBenedicto redebrasilatual _Justificando carmen_foro ericobras1 Gilmar_Cartoons safbf geledes Benett_ portalacritica ChicoCesarOf FlavioDino mariellefranco Quaqua13PT marcialiapt13 blogdosakamoto DCM_online Ana_Canas huffpostbrasil emergentemedio dilmabr taliriapetrone AlvarengaRibe membershippzzle psol50 TheInterceptBr JFMargarida 
342 Artes;1474;81;1;5;10;34;#342Artes #342Moradia #342Agora #PorQueOcupamos #GuilhermeBoulos #Quemocupanãotemculpa ;GuilhermeBoulos JornalOGlobo caetanoveloso PaulaLavigne GuajajaraSonia 
MST Oficial;88384;14971;267;526;2897;5721;#ComidaÉLuta #FeiraMST #TonaFeira #ComidaELuta #agroecologia #LulaLivre #VaiTerFeira #thread #FeiradaDaReformaAgraria #vemprafeira #EuToNaFeira #FeiraDaReformaAgraria #1McomLula #FeiraNacional #ComidaEVida ;Brasil_de_Fato LemusteleSUR MST_Oficial BelCoelho_Br mljdarocha joaopaulomst calu_barros redeTVT Marcelinho_cg anacanas delucca padilhando botecodojb Pragmatismo_ GuilhermeBoulos redebrasilatual IvanValente Desesquerdizada guardian levantepopular xicosa BlogdoJuca MidiaNINJA FlavioRenegado ManuelaDavila cartamaior carta_campinas gleisi ultrajano ricardostuckert Incra_oficial J_LIVRES JeanSena belagil gcaiires LeftwordBooks cptnacional Mirabili BlocoIleAiye bbcbrasil grfavoritos p1nhe1ro13 vijayprashad 
MPL - São Paulo;5766;3232;163;193;0;0;;
UNE;64863;19287;648;1724;35;86;;ana_santosbf httpsBellan UnesparOficial MathGregory paulohbosio 
CUT Brasil;56324;18220;869;3382;3652;6120;#LulaLivre #1McomLula #DiaDoTrabalho #SINA #1M2018 #GreveUnBResiste #Noticias #LulaLilvre #Suíça #BomDiaLula #Portugal #1DeMaio #DiaDoTrabalhador #Brasil #Cuba #EfeméridesteleSUR #1ºDeMaio #LulaLibre ;MST_Oficial redebrasilatual VagnerLulaSilva Brasil_de_Fato CUTSAOPAULO LulapeloBrasil jaqueswagner MidiaNINJA smabc gleisi bethcarvalho folha redeTVT EstatalesCLATE FENAMUTRA GuilhermeBoulos PTnoSenado levantepopular CUT_Brasil cartacapital ITF_Americas DepMarcoMaia ChicoCesarOf FlavioRenegado CONLACTRAHO flabassalo ptbrasil PTnaCamara dilmabr Trevino_Sofia CFKArgentina CTAGlobal teleSURtv Liniker imprenca IDWFED fenatrad gibranmendes 
Levante da Juventude;8631;9179;146;265;353;818;#1McomLULA #ComidaÉLuta #StarWarsDay #MayTheFourth #LulaLivre #FeiraMST #GreveUnBResiste #nãovaitergolpe #Marx200 #tonafeira #UNEVolante #ForaTemer #FeiraDaReformaAgrária ;MST_Oficial levantepopular ManuelaDavila BLOGDOMENON Brasil_de_Fato GustavoM2014 GuilhermeBoulos J_LIVRES LulapeloBrasil 
Juntos;1;0;0;0;0;0;;
resistência;324;2440;237;104;1;1;;esquerdaonline_ 
UJS;21641;21072;2431;1870;48;127;#OcupaOPoder #Manu2018 #Ocupatudo #1McomLula #ALutaPrevalece #ManuAoVivo #Lindo #LulaLivre #TBT #1DeMaio ;ManuelaDavila PortalCTB UJSBRASIL portalvermelho carinavitral PauloVinicius65 jandira_feghali MidiaNINJA paollovers FlavioDino 
UJR Brasil;133;27;70;15;0;0;;
Faísca!;655;588;632;445;0;0;;
Pão e Rosas;625;888;303;571;0;0;;
UBES;22890;11447;861;238;42;76;#SeLiga16 #01DeMaio #DocumentoDoEstudante #DiaDoTrabalhador #Educação #FicaDica #OcupaTudo #PauloFreire #Estudantes #OProfessorÉMeuAmigoMexeuComEleMexeuComigo #EducaçãoCadê #MostraOTítulo ;pedrogorki 
UJC Brasil;582;289;41;14;0;0;;
Juv. Anticapitalista;622;4028;85;187;2;8;#MarchaDaMaconhaRJ ;
UBM Oficial;168;601;150;0;0;1;#Ocupa ;
MAB;4095;1908;898;550;0;0;;
CONTAG;1385;1980;522;202;1;2;;
Geledés Mulher Negra;32891;33154;195;119;422;989;#geledes #MulherNegra #MarielleFranco #empauta #violenciacontramulher #casosderacismo #estupro #afrobrasileirosesuaslutas #Geledés30anos #entretenimento #artigosereflexoes #Lula #esquecerjamais #violenciaracialepolicial #Afroamericanosesuaslutas #guestpost #ataqueracista #racismo #literaturanegra #hq #ruthdesouza #educacao #conceicaoevaristo #quemmatoumarielle #escravidao #premionobeldapaz #indenização #trabalhadorasdomesticas #atriznegra #expoafro #omitodedemocraciaracial #professora #literuatura #saúde #resistencia #adolescentes #geledes30anos #africaesuadiaspora #anistiainternacional #empreendedorismo #andersongomes #gledes #mercadodetrabalho #casosderacism #cabelo #semteto #cplp #grupozaffari #domesticas #crimesdaescravidão #representatividade #DavidLynch #maternidade ;YouTube 
Marcha das Mulheres;20265;6219;390;157;0;0;;
Não Me Kahlo;91121;12492;1049;4011;339;1115;#GloboNewsPrisma #RipTwitter #saopaulo #FridaySdvFcs #StarWarsDay #OtarianoSaiDoTwitter #DiaDoTrabalho #MayTheFourthBeWithYou ;TodoDiaUmMico radiobandnewsfm OficialGleiciD aleeemartins PolySchroer chick_in_kiev fogocruzadoapp 
Vem Pra Rua Brasil;101723;15119;465;1378;15939;38730;#ForoPrivilegiado #DiaDoTrabalho #Prisãoem2aInstância #impunidade #G1 ;VemPraRua_br Ricamconsult BlogDoPim apyus RHPozzobon augustosnunes JanainaDoBrasil g1 
Revoltados ON LINE;45151;23733;2890;773;109;408;#RevoltadosONLINE #GuilhermeBoulosNaCadeia #MarcelloReis #GleiseHoffmann #Lula #LulaNaCadeia ;YouTube GuilhermeBoulos folha 
EPL;9852;6023;294;355;0;0;;
EscolaSemPartido;19291;1028;94;285;1538;3660;;Sen_Cristovam ValeConservador AiltonBenedito PriscilaBCosta_ JezieldeQueiroz miguel_nagib 16do08de1986 Luadoce1 escolasempartid rochaprime 
Inst. MercadoPopular;5592;3179;207;264;1;1;;GabrielNemer_T jmpmello goescarlos deltanmd thiagocamargo gtinocolh BancoCentralBR folha o_lembrador elenalandau 
Libertarianismo +;17432;16937;78;12;0;0;;
Mov. Brasil Livre;134921;15046;575;558;5144;15515;#DiaDoTrabalho ;YouTube FernandoHoliday MBLivre EricBalbinus curtaramiro renato_battista alex_borges SocialistiPhone benebarbosa_mvb DaniloGentili CarmeIoNeto pensoestranho pfnery RubensNunesf dilmabr LulapeloBrasil apyus mblindos 
MCC;7797;160376;301;0;194;533;#Compartilhe #ApoioPMERJ #EuNãoAceito ;
LIVRES;10964;2113;137;435;75;416;#SejaLivres #LivresTV ;petropolislinux MBLivre partidonovo30 gabrielazevedo FabioOstermann elenalandau lucasdebritopb PainelWWcerto _cadumagalhaes henriquern ir_practice brazil_forum emersonjarude CarvedJaguar05 
NasRuas;14434;29699;2311;2537;342;632;#nasruas #pf #StanRosenberg #NasRuasBoston #cambioDesligo #Boston ;
Lula pelo Brasil;328572;13205;467;1279;10008;29014;#LulaLivre ;pablogentili 
Fernando Haddad;593308;1676;204;67;237;1032;;folha MidiaNINJA lelacrodrigues elikatakimoto 
Ciro Gomes;149705;300;3;37;743;3507;#DiaDoTrabalho ;
João Doria;886519;13110;364;111;584;3740;#AceleraSP #JoãoTrabalhador #GestãoEficiente #ObrigadoTimeQueTrabalha #AmelhorParteDoDia #AmoPastel #DesenvolvimentoRegional #DiaStarWars ;
Geraldo Alckmin;993311;32650;415;116;454;2262;;
Jair Bolsonaro;1149484;4102;186;842;10083;49845;;SouDescortes CarlosBolsonaro BolsonaroSP 
Henrique Meirelles;44802;562;173;7;204;1195;;ReutersBrazil 
Michel Temer;961774;14038;571;1129;550;2546;#AoVivo ;TVNBR planalto RadioagenciaEBC bolsafamilia 
Marina Silva;1915266;8643;448;2512;430;2142;#RodaViva #DiaDoTrabalhador ;rodaviva silva_marina 
Levy Fidelix;20814;8008;433;118;9;30;;
Pastor Everaldo 20;16042;5835;200;431;0;0;;JuizWilson pscmulherpara PRabello 
Flavio Rocha;24945;3995;599;501;36;278;#coluna #Política #Repost #FlavioRocha ;BI_GOD jornaltijucas atarde bahiaja TiaEron flaviogr drarogeria BlogdoBG antoniobaiarn MBLivre PRB_BAHIA ForbesBR RevistaBzzz 
Roberto Justus Ofici;1276734;2159;105;11;1;54;#cantandocompapai #birthdaynight #weekend #beautifulday #loveofmylife #partytime ;RodrigoFaro 
Guilherme Boulos;48377;1345;214;299;10910;31933;#quemocupanaotemculpa #equipe #RodaViva #Boulos2018 #CompartilheAVerdade #quemocupanãotemculpa #BoulosResponde #MarielleVive #AoVivo #BoulosNoRodaViva ;rodaviva lauraabcarvalho MidiaNINJA GuilhermeBoulos Boatosorg 
Jaques Wagner;64010;8050;666;442;814;2033;#LulaLivre #1McomLula ;LulapeloBrasil ptbrasil gleisi 
Fernando Collor;28306;3035;254;2;0;0;;
Cristovam Buarque;780639;47529;438;308;160;955;;
